 istep  hour   IC-parent   EC-parent   IC-metab    EC-metab
     0   0.0  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     9   0.5  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
    18   1.0  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
    27   1.5  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
    36   2.0  0.5505E+02  0.4867E+01  0.0000E+00  0.0000E+00
    45   2.5  0.2820E+03  0.2092E+01  0.0000E+00  0.0000E+00
    54   3.0  0.3283E+03  0.1525E+01  0.0000E+00  0.0000E+00
    63   3.5  0.3378E+03  0.1409E+01  0.0000E+00  0.0000E+00
    72   4.0  0.3397E+03  0.1385E+01  0.0000E+00  0.0000E+00
    81   4.5  0.3401E+03  0.1381E+01  0.0000E+00  0.0000E+00
    90   5.0  0.3402E+03  0.1380E+01  0.0000E+00  0.0000E+00
    99   5.5  0.3402E+03  0.1379E+01  0.0000E+00  0.0000E+00
   108   6.0  0.3402E+03  0.1379E+01  0.0000E+00  0.0000E+00
   117   6.5  0.3402E+03  0.1379E+01  0.0000E+00  0.0000E+00
   126   7.0  0.3402E+03  0.1379E+01  0.0000E+00  0.0000E+00
